Sexo,Comunidades y Ciudades Autónomas,Nacionalidad,Periodo,Total
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2021T2,"47,55"
Ambos sexos,"03 Asturias, Principado de",Extranjera: Unión Europea,2021T1,"46,92"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2023T4,"48,01"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2023T3,"54,19"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2023T2,"45,11"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2023T1,"44,38"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2022T4,"38,75"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2022T3,"48,93"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2022T2,"46,22"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2022T1,"48,21"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2021T4,"59,67"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2021T3,"56,38"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2021T2,"43,18"
Ambos sexos,"03 Asturias, Principado de",Extranjera: No pertenecientes a la Unión Europea,2021T1,"46,58"
Ambos sexos,"04 Balears, Illes",Total,2023T4,"54,10"
Ambos sexos,"04 Balears, Illes",Total,2023T3,"63,38"
Ambos sexos,"04 Balears, Illes",Total,2023T2,"60,36"
Ambos sexos,"04 Balears, Illes",Total,2023T1,"50,58"
Ambos sexos,"04 Balears, Illes",Total,2022T4,"54,39"
Ambos sexos,"04 Balears, Illes",Total,2022T3,"62,91"
Ambos sexos,"04 Balears, Illes",Total,2022T2,"59,34"
Ambos sexos,"04 Balears, Illes",Total,2022T1,"51,72"
Ambos sexos,"04 Balears, Illes",Total,2021T4,"52,26"
Ambos sexos,"04 Balears, Illes",Total,2021T3,"59,54"
Ambos sexos,"04 Balears, Illes",Total,2021T2,"54,89"
Ambos sexos,"04 Balears, Illes",Total,2021T1,"48,81"
Ambos sexos,"04 Balears, Illes",Española,2023T4,"54,55"
Ambos sexos,"04 Balears, Illes",Española,2023T3,"61,69"
Ambos sexos,"04 Balears, Illes",Española,2023T2,"59,12"
Ambos sexos,"04 Balears, Illes",Española,2023T1,"51,64"
Ambos sexos,"04 Balears, Illes",Española,2022T4,"53,77"
Ambos sexos,"04 Balears, Illes",Española,2022T3,"61,95"
Ambos sexos,"04 Balears, Illes",Española,2022T2,"58,93"
Ambos sexos,"04 Balears, Illes",Española,2022T1,"52,75"
Ambos sexos,"04 Balears, Illes",Española,2021T4,"52,42"
Ambos sexos,"04 Balears, Illes",Española,2021T3,"59,29"
Ambos sexos,"04 Balears, Illes",Española,2021T2,"54,81"
Ambos sexos,"04 Balears, Illes",Española,2021T1,"50,13"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2023T4,"52,71"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2023T3,"68,62"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2023T2,"64,30"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2023T1,"47,20"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2022T4,"56,40"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2022T3,"66,07"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2022T2,"60,71"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2022T1,"48,25"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2021T4,"51,72"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2021T3,"60,41"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2021T2,"55,16"
Ambos sexos,"04 Balears, Illes",Extranjera: Total,2021T1,"44,40"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2023T4,"60,27"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2023T3,"72,13"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2023T2,"73,55"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2023T1,"55,03"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2022T4,"56,62"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2022T3,"71,75"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2022T2,"66,78"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2022T1,"52,25"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2021T4,"53,15"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2021T3,"65,83"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2021T2,"59,87"
Ambos sexos,"04 Balears, Illes",Extranjera: Unión Europea,2021T1,"50,02"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2023T4,"48,88"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2023T3,"66,89"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2023T2,"60,29"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2023T1,"43,04"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2022T4,"56,27"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2022T3,"62,75"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2022T2,"57,77"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2022T1,"45,87"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2021T4,"50,75"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2021T3,"56,36"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2021T2,"51,36"
Ambos sexos,"04 Balears, Illes",Extranjera: No pertenecientes a la Unión Europea,2021T1,"40,40"
